num,decisao,tag,titulo,justificativa
39,I,,A Model-Driven Requirements Engineering Method for Human-Centered Digitalisation of Agriculture,MoDRE para digitalização agrícola centrada no humano IEEE RE 2024. Responde R1/R4.
38,I,,A Novel Trust State-Chart Model for Requirements Engineering of Trustful AI - Empowered Software,Modela requisitos de confiança em IA considerando UX integra ER com design centrado em humano. Responde R1/R4.
212,I,,A scenario- and observation-based requirement analysis for delivery of remote mining services,Cenários e observação para análise de requisitos. 4 páginas (limítrofe CE7) mas tema relevante para R2/R4.
22,I,,A Usability-Pattern-Based Requirements-Analysis Method to Bridge the Gap between User Tasks and Application Features,Propõe método de análise de requisitos baseado em padrões de usabilidade em Agile-UCD. Responde R1/R4.
77,I,,Activity-Centered Domain Characterization for Problem-Driven Scientific Visualization,Framework de ER baseado em Activity-Centered Design (extensão de HCD). IEEE TVCG. Responde R1/R4.
36,I,,Aligning Healthcare Innovation and Software Requirements through Design Thinking,Diretamente sobre alinhar requisitos de software via DT em saúde. Workshop ICSE SEHS. Responde R1/R4.
203,I,,An experience report on teaching multiple design thinking techniques to software engineering students,Relata ensino de múltiplas técnicas de DT para elicitação de requisitos em curso de SE. SBES 2018. Responde R1/R2/R4.
101,I,,An Experience Report on the Use of Experience Maps and Sketches in a Database Course Project,"Aplica técnicas UCD (experience maps, sketches) para elicitação de requisitos em curso. Responde R2/R4 em vertente educacional."
209,I,,An Experience Report on the use of Problem-based learning and Design Thinking in a Requirements Engineering Postgraduate Course,Relato de PBL+DT em curso de pós-graduação de RE. SBES 2023. Responde R1/R2/R4 em vertente educacional.
217,I,,Analyzing value co-creation in service systems: contribution from GORE,Aborda GORE para análise de co-creation em service systems - relevante para R1/R4 em service design. 3 páginas (provável CE7).
164,I,,Application of human-centered design practices in the agile requirements engineering process: a case study in a public company,Estudo de caso de HCD em Agile RE em empresa pública. SBQS 2024. Responde R1/R2/R4.
94,I,,AR Training for Paragliding Pilots: An Investigation of User Experience and Requirements,Combina UX e elicitação de requisitos para AR em treinamento. Limítrofe entre I e CE3.
171,I,,Breaking the UCD Process: The Case Study of a Failed Mexican Government Project,Analisa falha de UCD em projeto governamental incluindo problemas de elicitação. CHI EA 2016 - mas 6 páginas. Responde R5 fortemente.
67,I,,Can You Help Me Measure My Blood Sugar? Co-design of a Voice Interface to Assist Patients and Caregivers at Home,Co-design + elicitação para interface de voz em saúde. 4 páginas - possível short paper.
144,I,,Capturing and validating personalization requirements in Web applications,Propõe WebSpec - artefato de requisitos para capturar requisitos de UX/navegação/interação em web. Responde R1/R4.
120,I,,Characterizing Human Aspects in Reviews of COVID-19 Apps,Captura aspectos humanos em requisitos via análise de reviews ligação clara com UX e ER. MobileSoft 2022. Responde R2/R5.
180,I,,Clash of Requirements: Users First vs. Model First,Estuda tensão entre UX designers e data scientists em RE para ML. FSE 2025. Short paper (5 páginas) mas tema central. Responde R3/R5.
194,I,,Co-Designing Augmented Paper for Health Education with Older Adults,Co-design com idosos para health education baseado em user requirements. BCS HCI 2025. Responde R2/R3.
100,I,,Collaboration-based Urban Planning Platform: Modeling Cognition to Co-create Cities,Co-create cities via plataformas colaborativas + sensoriamento participativo. Limítrofe entre I (R2/R3) e CE3.
28,I,,Combining i* and Service Blueprint for Service design: a case study of Fliggy,Combina i* (ER) com Service Blueprint (Service Design). Diretamente sobre integração. Responde R1/R2/R4.
187,I,,Comparing Design Thinking Techniques in the Context of IoT Requirements Elicitation: An Empirical Study,"Estudo empírico comparando técnicas de DT (IoThinking, Mind IoT) em elicitação para IoT. SBQS 2024. Responde R1/R2/R4."
1,I,,Design and Development of the Ez Claim Mobile Application Through Human-Centered Design Thinking,"Aplica HCD+DT para construir app de seguros, foco no produto. Limítrofe entre CE3 e responder R2/R3 como estudo de caso."
184,I,,Design for IoT: An Experimental Study to Understand How Design Thinking Can Help in the Elicitation of Requirements for IoT Systems,Estudo experimental de DT em elicitação de requisitos para IoT. SBQS 2023. Responde R1/R2/R4.
24,I,,Design science research based blended approach for usability driven requirements gathering and application development,Combina SE+HCI+DSR para elicitação de requisitos. Responde R1/R4.
21,I,,Design Thinking in a Nutshell for Eliciting Requirements of a Business Process: A Case Study of a Design Thinking Workshop,Diretamente sobre DT para elicitação de requisitos. Responde R1/R2/R4.
23,I,,Design Thinking in Requirements Engineering: Understanding the Role of Internal and External Empathy,"Quasi-experimento com técnicas de DT (Vision Canvas, Empathy Map) em elicitação. Responde R1/R2/R4."
41,I,,Designing a Useful and Usable Mobile EMR Application through a Participatory Design Methodology: A Case Study,Identifica requisitos via PD analisa explicitamente o processo de elicitação. Responde R2/R3/R4.
220,I,,Designing affective animations with children as design partners using role-playing,Propõe método novel de UCD/PD com crianças (role-playing) para elicitação de requisitos. IHM 2011. Responde R2/R3.
80,I,,Designing Model Tools of Requirement Elicitation Process for ADHD Children's Learning Application,Foco direto em processo de elicitação de requisitos para crianças ADHD. Responde R1/R3/R4.
15,I,,Developing Software Using Agile and Design Thinking Framework,Discute integração Agile+DT para captura de requisitos. Responde R2/R4.
33,I,,Digital Design - Shaping a Sustainable Digital Future Requires a New Holistic Design Approach,IEEE RE 2023 discute necessidade de abordagem holística de design para RE. Responde R1/R5.
195,I,,Discovery of socio-technical requirements for the design of a digital educational game,Aplica conceitos/técnicas de SE para descoberta de requisitos sociotécnicos. SBSI 2023. Responde R2/R3/R4.
72,I,,Domain Specific Case Tool for ICT-Enabled Service Design,Ferramenta que integra elicitação e modelagem de requisitos no ciclo de Service Design. HICSS 2014. Responde R1/R4.
9,I,,DT4RE: Design Thinking for Requirements Engineering: A Tutorial on Human-Centered and Structured Requirements Elicitation,Diretamente sobre DT aplicado a ER. Tutorial em IEEE RE. Responde R1/R2/R4.
