ID_estudo,Referencia,Questao,Descricao_da_questao,Pontuacao,Justificativa,Evidencia_secao_pagina,Revisor
E01,"Marai, G. E. (2018). Activity-Centered Domain Characterization for Problem-Driven Scientific Visualization. IEEE TVCG, 24(1).",QA1,O objetivo do estudo esta claramente definido?,1,Objetivo explicito no resumo e na introducao: propor framework e modelo ponta-a-ponta de ER para design de visualizacao orientada a problemas. Contribuicoes listadas em topicos.,Resumo; Secao 1 (final),Ok
E01,"Marai, G. E. (2018). Activity-Centered Domain Characterization for Problem-Driven Scientific Visualization. IEEE TVCG, 24(1).",QA2,O contexto de desenvolvimento de software/digital esta descrito?,1,Contexto digital descrito: sistema de visualizacao (representacoes visuais + interacao sobre dados); projetos interdisciplinares com dominios concretos.,Secao 2; Secao 4.1,Ok
E01,"Marai, G. E. (2018). Activity-Centered Domain Characterization for Problem-Driven Scientific Visualization. IEEE TVCG, 24(1).",QA3,A abordagem de ER e explicitada?,1,"ER e o eixo do trabalho: domain characterization tratada como requirements elicitation; cobre elicitacao, analise, especificacao e validacao, com tecnicas nomeadas.",Secao 2; Secao 3,Ok
E01,"Marai, G. E. (2018). Activity-Centered Domain Characterization for Problem-Driven Scientific Visualization. IEEE TVCG, 24(1).",QA4,A abordagem de design e explicitada?,1,"Activity-Centered Design definido e fundamentado (Norman, Activity Theory), apresentado como evolucao do Human-Centered Design.",Secao 1; Secao 3,Ok
E01,"Marai, G. E. (2018). Activity-Centered Domain Characterization for Problem-Driven Scientific Visualization. IEEE TVCG, 24(1).",QA5,A forma de integracao entre ER e design e descrita com detalhes suficientes?,1,"Nucleo do artigo: modelo em rede de 4 estagios e importacao das functional specifications da eng. de software para o nested model de design. Fluxo, papeis, artefatos e tempos por etapa.",Secao 3; Secao 5.1,Ok
E01,"Marai, G. E. (2018). Activity-Centered Domain Characterization for Problem-Driven Scientific Visualization. IEEE TVCG, 24(1).",QA6,"Ha evidencias empiricas, relato de aplicacao ou avaliacao da abordagem?",1,"Avaliacao quantitativa: 35 projetos sob ACD (~63% sucesso) vs 40 projetos sob modelos anteriores (~25%), mais discussao qualitativa de aderencia a literatura.",Secao 4.1; Secao 4.2,Ok
E01,"Marai, G. E. (2018). Activity-Centered Domain Characterization for Problem-Driven Scientific Visualization. IEEE TVCG, 24(1).",QA7,"Beneficios, limitacoes ou desafios sao relatados?",1,"Beneficios articulados (mitigacao de retrabalho, evitar resolver o problema errado) em Model Merits; desafios da caracterizacao de dominio discutidos.",Secao 5.1,Ok
E01,"Marai, G. E. (2018). Activity-Centered Domain Characterization for Problem-Driven Scientific Visualization. IEEE TVCG, 24(1).",QA8,"As ameacas a validade, limitacoes ou condicoes de aplicabilidade sao discutidas?",0.5,"Discute pressupostos e limitacoes do MODELO (stakeholders ja identificados; discurso nos x eles; decomposicao de objetivos em tarefas; quando observacao nao e viavel), mas NAO discute ameacas a validade da avaliacao empirica (coortes diferentes, sem controle, sem tratar vies de selecao/confundidores).",Secao 5.2,Ok
E02,"Carroll, N.; Richardson, I. (2016). Aligning Healthcare Innovation and Software Requirements through Design Thinking. SEHS'16 (Int. Workshop on Software Engineering in Healthcare Systems), ACM.",QA1,O objetivo do estudo esta claramente definido?,1,Objetivo explicito no resumo e na introducao: estabelecer um Connected Health Innovation Framework usando principios de Design Thinking para (a) apoiar desenvolvedores na identificacao de requisitos de saude e (b) estender tecnicas tradicionais de coleta de requisitos. Aims e objetivos detalhados em lista.,Resumo; Secao 1; Secao 3,Ok
E02,"Carroll, N.; Richardson, I. (2016). Aligning Healthcare Innovation and Software Requirements through Design Thinking. SEHS'16 (Int. Workshop on Software Engineering in Healthcare Systems), ACM.",QA2,O contexto de desenvolvimento de software/digital esta descrito?,1,"Contexto digital bem descrito: Connected Health, e-pharmacy (servicos de farmacia online via tecnologias digitais), software de dispensacao legado, sistema de gestao de medicamentos. Dominio claro.",Secao 2; Secao 2.1; Secao 5,Ok
E02,"Carroll, N.; Richardson, I. (2016). Aligning Healthcare Innovation and Software Requirements through Design Thinking. SEHS'16 (Int. Workshop on Software Engineering in Healthcare Systems), ACM.",QA3,A abordagem de ER e explicitada?,1,"ER explicitada: define requisito, descreve as etapas elicitacao, analise, especificacao e gestao (apoiada no SWEBOK), e discute as falhas da ER tradicional no contexto de saude.",Secao 4; Secao 5.2.4,Ok
