ID_estudo,Referencia,Soma de Pontos,Status
E01,"Marai, G. E. (2018). Activity-Centered Domain Characterization for Problem-Driven Scientific Visualization. IEEE TVCG, 24(1).",7.5,Incluido
E02,"Carroll, N.; Richardson, I. (2016). Aligning Healthcare Innovation and Software Requirements through Design Thinking. SEHS'16 (Int. Workshop on Software Engineering in Healthcare Systems), ACM.",7,Incluido
E08,"Virvou, M.; Tsihrintzis, G. A. (2023). A Novel Trust State-Chart Model for Requirements Engineering of Trustful AI-Empowered Software. 2023 14th International Conference on Information, Intelligence, Systems & Applications (IISA), IEEE.",4.5,Nota Baixa
E09,"Coutinho, V. O. G.; Souza, M. R. A.; Freire, A. P. (2024). Application of human-centered design practices in the agile requirements engineering process: a case study in a public company. SBQS 2024, ACM.",7.5,Incluido
E12,"Lee, S. H.; Ko, I. Y.; Kang, S.; Lee, D. H. (2010). A usability-pattern-based requirements-analysis method to bridge the gap between user tasks and application features. COMPSAC 2010, IEEE.",7.5,Incluido
E14,"Alloatti, F.; Tasso, R.; Bolioli, A.; Messina, E.; Cantu, D.; Guidorzi, E.; Agamennone, C.; Brunetti, E.; Marinello, R. (2021). Can You Help Me Measure My Blood Sugar? Co-design of a Voice Interface to Assist Patients and Caregivers at Home. ISCC 2021, IEEE.",7.5,Excluido
E19,"Recalde, L.; Jimenez-Pacheco, P.; Mendoza, K.; Meza, J. (2020). Collaboration-based Urban Planning Platform: Modeling Cognition to Co-create Cities. ISI 2020, IEEE.",6,Nota Baixa
E20,"Liu, Z. (2022). Combining i* and Service Blueprint for Service design: a case study of Fliggy. ICCSMT 2022, IEEE.",7,Excluido
E21,"Rodrigues, E.; Souza, S.; Meireles, M.; Lauschner, T.; Maldonado, J. C.; Lima, M.; Conte, T. (2024). Comparing Design Thinking Techniques in the Context of IoT Requirements Elicitation: An Empirical Study. SBQS 2024, ACM.",8,Incluido
E22,"Janchidfah, T.; Pinthong, T. (2025). Design and Development of the EZ Claim Mobile Application through Human-Centered Design Thinking. iSAI-NLP 2025, IEEE.",5.5,Nota Baixa
E23,"Souza, S. R. de; Meireles, M. A. C.; Duarte, J. C.; Maldonado, J. C.; Conte, T. (2022). Design for IoT: An Experimental Study to Understand How Design Thinking Can Help in the Elicitation of Requirements for IoT Systems. SBQS '22: XXI Brazilian Symposium on Software Quality.",8,Incluido
E25,"De Croon, R.; Klerkx, J.; Duval, E. (2014). Designing a Useful and Usable Mobile EMR Application through a Participatory Design Methodology: A Case Study. 2014 IEEE International Conference on Healthcare Informatics (ICHI).",7.5,Incluido
E26,"Dalimunthe, K. N. A.; Sabariah, M. K.; Selviandro, N. (2024). Designing Model Tools of Requirement Elicitation Process for ADHD Children's Learning Application. 2024 International Conference on Electrical Engineering and Computer Science (ICECOS).",6,Nota Baixa
