tema,id,grau_de_evidencia
"Colaboração, engajamento e comunicação",E02,Sem evidência
"Colaboração, engajamento e comunicação",E09,Participantes
"Colaboração, engajamento e comunicação",E12,Sem evidência
"Colaboração, engajamento e comunicação",E32,Participantes
"Colaboração, engajamento e comunicação",E43,Participantes
"Colaboração, engajamento e comunicação",E45,Sem evidência
"Colaboração, engajamento e comunicação",E70,Participantes
"Colaboração, engajamento e comunicação",E74,Participantes
Descoberta de necessidades latentes e compreensão do problema,E02,Participantes
Descoberta de necessidades latentes e compreensão do problema,E25,Empírico
Descoberta de necessidades latentes e compreensão do problema,E27,Participantes
Descoberta de necessidades latentes e compreensão do problema,E40,Participantes
Descoberta de necessidades latentes e compreensão do problema,E43,Participantes
Descoberta de necessidades latentes e compreensão do problema,E46,Participantes
Descoberta de necessidades latentes e compreensão do problema,E47,Sem evidência
Descoberta de necessidades latentes e compreensão do problema,E58,Participantes
Descoberta de necessidades latentes e compreensão do problema,E63,Participantes
Descoberta de necessidades latentes e compreensão do problema,E70,Participantes
Descoberta de necessidades latentes e compreensão do problema,E72,Empírico
Descoberta de necessidades latentes e compreensão do problema,E74,Participantes
Inclusão de não especialistas e usuários vulneráveis,E32,Participantes
Inclusão de não especialistas e usuários vulneráveis,E51,Participantes
Inclusão de não especialistas e usuários vulneráveis,E58,Sem evidência
Inclusão de não especialistas e usuários vulneráveis,E67,Empírico
Inclusão de não especialistas e usuários vulneráveis,E75,Sem evidência
Inclusão de não especialistas e usuários vulneráveis,E79,Sem evidência
"Produtividade da elicitação (requisitos, stakeholders, ideias)",E21,Participantes
"Produtividade da elicitação (requisitos, stakeholders, ideias)",E23,Empírico
"Produtividade da elicitação (requisitos, stakeholders, ideias)",E29,Empírico
"Produtividade da elicitação (requisitos, stakeholders, ideias)",E36,Participantes
"Produtividade da elicitação (requisitos, stakeholders, ideias)",E46,Sem evidência
"Produtividade da elicitação (requisitos, stakeholders, ideias)",E57,Participantes
"Produtividade da elicitação (requisitos, stakeholders, ideias)",E64,Empírico
"Qualidade do produto, redução de risco e retrabalho",E01,Empírico
"Qualidade do produto, redução de risco e retrabalho",E09,Empírico
"Qualidade do produto, redução de risco e retrabalho",E12,Sem evidência
"Qualidade do produto, redução de risco e retrabalho",E25,Empírico
"Qualidade do produto, redução de risco e retrabalho",E38,Sem evidência
"Qualidade do produto, redução de risco e retrabalho",E45,Sem evidência
"Qualidade do produto, redução de risco e retrabalho",E47,Sem evidência
"Qualidade do produto, redução de risco e retrabalho",E51,Empírico
Rastreabilidade e documentação do racional,E38,Sem evidência
Rastreabilidade e documentação do racional,E79,Empírico
