id,rq1,rq2,rq3,rq4,rq5
E01,Responde,Responde,Responde,Responde,Responde parcialmente
E02,Responde,Responde,Responde parcialmente,Responde,Responde parcialmente
E09,Responde,Responde,Responde parcialmente,Responde parcialmente,Responde
E12,Responde,Responde,Responde parcialmente,Responde,Responde parcialmente
E21,Responde parcialmente,Responde,Responde parcialmente,Responde,Responde parcialmente
E23,Responde parcialmente,Responde,Não responde,Responde parcialmente,Responde
E25,Responde,Responde,Responde parcialmente,Responde parcialmente,Responde parcialmente
E27,Responde,Responde,Responde parcialmente,Responde,Responde parcialmente
E29,Responde,Responde,Responde parcialmente,Responde,Responde
E32,Responde,Responde,Responde parcialmente,Responde,Responde
E36,Responde parcialmente,Responde,Responde parcialmente,Responde,Responde parcialmente
E38,Responde,Responde,Responde parcialmente,Responde,Responde
E40,Responde parcialmente,Responde,Responde parcialmente,Responde parcialmente,Responde
E43,Responde,Responde,Responde parcialmente,Responde,Responde
E45,Responde,Responde,Responde parcialmente,Responde,Responde
E46,Responde,Responde,Responde parcialmente,Responde parcialmente,Responde
E47,Responde,Responde,Responde,Responde,Responde parcialmente
E51,Responde parcialmente,Responde,Responde parcialmente,Responde parcialmente,Responde parcialmente
E57,Responde parcialmente,Responde,Responde parcialmente,Responde,Responde
E58,Responde parcialmente,Responde,Responde parcialmente,Responde parcialmente,Responde parcialmente
E63,Responde parcialmente,Responde,Responde parcialmente,Responde,Responde parcialmente
E64,Responde,Responde,Responde parcialmente,Responde,Responde
E67,Responde,Responde parcialmente,Responde parcialmente,Responde,Responde parcialmente
E70,Responde,Responde,Responde parcialmente,Responde,Responde
E72,Responde parcialmente,Responde parcialmente,Responde parcialmente,Responde,Responde
E74,Responde parcialmente,Responde,Responde parcialmente,Responde parcialmente,Responde
E75,Responde,Responde,Responde parcialmente,Responde,Responde
E79,Responde,Responde,Responde parcialmente,Responde,Responde parcialmente
