id,autores,ano,titulo,veiculo,tipo_veiculo,doi,base,dominio,dominio_agrupado,contexto,contexto_agrupado,nota_qa,grupo_rq4
E01,"Marai, G. Elisabeta",2018,Activity-Centered Domain Characterization for Problem-Driven Scientific Visualization,IEEE Transactions on Visualization and Computer Graphics,periódico,10.1109/TVCG.2017.2744459,IEEE Xplore,Visualização científica,Visualização científica,Acadêmico,Acadêmico,"7,5",A
E02,"Carroll, Noel and Richardson, Ita",2016,Aligning Healthcare Innovation and Software Requirements through Design Thinking,Proc. Int. Workshop on Software Engineering in Healthcare Systems (SEHS'16),workshop,10.1145/2897683.2897687,IEEE Xplore,Saúde,Saúde,Industrial,Industrial,7,A
E09,"Coutinho, Viviane de Oliveira Garcia and Souza, Maurício Ronny de Almeida and Freire, André Pimenta",2024,Application of Human-Centered Design Practices in the Agile Requirements Engineering Process: a Case Study in a Public Company,Proc. XXIII Brazilian Symposium on Software Quality (SBQS 2024),conferência,10.1145/3701625.3701635,ACM DL,Governo/e-gov,Cidades/governo digital,Industrial,Industrial,"7,5",D
E12,"Lee, Sang-Hyun and Ko, In-Young and Kang, Sungwon and Lee, Dan-Hyung",2010,A Usability-Pattern-Based Requirements-Analysis Method to Bridge the Gap between User Tasks and Application Features,Proc. 34th Annual IEEE Computer Software and Applications Conference (COMPSAC),conferência,10.1109/COMPSAC.2010.39,IEEE Xplore,Genérico (móvel),Genérico/indústria de software,Acadêmico,Acadêmico,"7,5",A
E21,"Rodrigues, Eriky and Souza, Sabrina and Meireles, Maria and Lauschner, Tanara and Maldonado, José Carlos and Lima, Marcia and Conte, Tayana",2024,Comparing Design Thinking Techniques in the Context of IoT Requirements Elicitation: An Empirical Study,Proc. XXIII Brazilian Symposium on Software Quality (SBQS 2024),conferência,10.1145/3701625.3701693,ACM DL,IoT,IoT/Smart Home,Acadêmico,Acadêmico,8,B
E23,"Souza, Sabrina R. and Meireles, Maria Alcimar C. and Duarte, José Carlos and Maldonado, José Carlos and Conte, Tayana",2022,Design for IoT: An Experimental Study to Understand How Design Thinking Can Help in the Elicitation of Requirements for IoT Systems,Proc. XXI Brazilian Symposium on Software Quality (SBQS '22),conferência,10.1145/3571473.3571483,ACM DL,IoT/Smart Home,IoT/Smart Home,Acadêmico,Acadêmico,8,D
E25,"De Croon, Robin and Klerkx, Joris and Duval, Erik",2014,Designing a Useful and Usable Mobile EMR Application through a Participatory Design Methodology: A Case Study,Proc. 2014 IEEE International Conference on Healthcare Informatics (ICHI),conferência,10.1109/ICHI.2014.31,IEEE Xplore,Saúde,Saúde,Campo,Campo/comunidade,"7,5",D
E27,"De Silva, L. N. C. and Goonetillake, J. S. and Wikramanayake, G. N. and Ginige, T. and Ginige, A. and Vitiello, G. and Sebillo, M. and Di Giovanni, P. and Tortora, G. and Tucci, M.",2014,Design Science Research Based Blended Approach for Usability Driven Requirements Gathering and Application Development,Proc. 2nd IEEE Int. Workshop on Usability and Accessibility Focused Requirements Engineering (UsARE),workshop,10.1109/UsARE.2014.6890996,IEEE Xplore,Agricultura,Agricultura,Campo,Campo/comunidade,"7,5",A
E29,"Kahan, Ezequiel and Genero, Marcela and Bernárdez, Beatriz and Oliveros, Alejandro",2025,Design Thinking in Requirements Engineering: Understanding the Role of Internal and External Empathy,Proc. 2025 IEEE 33rd International Requirements Engineering Conference (RE),conferência,10.1109/RE63999.2025.00016,IEEE Xplore,Serviços (adoção de animais),Serviços,Acadêmico,Acadêmico,8,A
E32,"Haddad, Flávia Belintani Blum and Dias, Luiz Miguel Naldi and Corrêa, Cléber Gimenez and Peres, Letícia Mara",2023,Discovery of Socio-Technical Requirements for the Design of a Digital Educational Game,Proc. XIX Brazilian Symposium on Information Systems (SBSI '23),conferência,10.1145/3592813.3592903,ACM DL,Educação (jogo),Educação,Acadêmico,Acadêmico,"7,5",A
