id,qa1,qa2,qa3,qa4,qa5,qa6,qa7,qa8,soma,status
E01,1,1,1,1,1,1,1,"0,5","7,5",Incluido
E02,1,1,1,1,1,"0,5",1,"0,5",7,Incluido
E08,1,"0,5",1,"0,5",1,0,"0,5",0,"4,5",Nota Baixa
E09,1,1,1,1,1,1,1,"0,5","7,5",Incluido
E12,1,1,1,1,1,1,1,"0,5","7,5",Incluido
E14,1,1,1,1,1,1,1,"0,5","7,5",Excluido
E19,1,1,1,"0,5",1,1,"0,5",0,6,Nota Baixa
E20,1,1,1,1,1,"0,5",1,"0,5",7,Excluido
E21,1,1,1,1,1,1,1,1,8,Incluido
E22,1,1,"0,5",1,"0,5",1,"0,5",0,"5,5",Nota Baixa
E23,1,1,1,1,1,1,1,1,8,Incluido
E25,1,1,1,1,1,1,1,"0,5","7,5",Incluido
E26,1,1,1,1,"0,5",1,"0,5",0,6,Nota Baixa
E27,1,1,1,1,1,1,1,"0,5","7,5",Incluido
E28,1,1,1,1,1,"0,5",1,"0,5",7,Excluido
E29,1,1,1,1,1,1,1,1,8,Incluido
E30,1,1,"0,5",1,1,"0,5","0,5",0,"5,5",Nota Baixa
E32,1,1,1,1,1,1,1,"0,5","7,5",Incluido
E36,1,"0,5",1,1,1,1,1,1,"7,5",Incluido
E38,1,"0,5",1,1,1,"0,5",1,"0,5","6,5",Incluido
E40,1,1,"0,5",1,"0,5",1,1,1,7,Incluido
E43,1,1,1,1,1,1,1,"0,5","7,5",Incluido
E45,1,1,1,1,1,1,1,"0,5","7,5",Incluido
E46,1,1,1,1,1,1,1,"0,5","7,5",Incluido
E47,1,1,1,1,1,0,1,"0,5","6,5",Incluido
E48,1,"0,5",1,1,1,0,1,"0,5",6,Nota Baixa
E51,1,1,1,1,1,1,1,"0,5","7,5",Incluido
E53,1,1,"0,5",1,"0,5",0,1,"0,5","5,5",Nota Baixa
E54,1,"0,5",1,1,1,"0,5",1,0,6,Nota Baixa
E57,1,"0,5",1,1,1,1,1,1,"7,5",Incluido
E58,1,1,1,1,1,1,1,0,7,Incluido
E59,1,1,1,1,1,1,1,"0,5","7,5",Excluido
E63,1,1,1,1,1,1,1,1,8,Incluido
E64,1,1,1,1,1,1,1,1,8,Incluido
E67,1,1,1,1,1,1,1,"0,5","7,5",Incluido
E70,1,1,1,1,1,1,1,"0,5","7,5",Incluido
E72,1,1,1,"0,5","0,5",1,1,"0,5","6,5",Incluido
E74,1,1,1,1,"0,5",1,1,"0,5",7,Incluido
E75,1,1,1,1,1,1,1,"0,5","7,5",Incluido
E79,1,"0,5",1,1,"0,5",1,1,"0,5","6,5",Incluido
