id,destinataria,estruturadora,organizadora,pratica_coletiva_distribuida,papeis,trecho_campo10
E01,0,1,1,0,"Estruturadora, Organizadora","""atribui à ER papéis de estruturadora, gate de prototipação, tradutora de vocabulário e validação antecipada"""
E02,1,1,0,0,"Destinatária, Estruturadora","""a ER aparece como receptora e tradutora das necessidades levantadas e como instância de verificação e validação"""
E09,0,1,0,0,Estruturadora,"""a ER aparece como estruturadora e como base contratual da comunicação com a contratada"""
E12,0,1,0,0,Estruturadora,"""atribui à análise de requisitos o papel de tradutora e formalizadora das tarefas de usuário em funcionalidades"""
E21,1,0,0,0,Destinatária,"""atribui à ER o papel de destino do trabalho de design, com a elicitação recebendo os artefatos"""
E23,0,0,0,0,—,"""RQ3: Não responde."" — único estudo sem papel discernível"
E25,1,0,0,0,Destinatária,"""a análise de requisitos aparece como produto do processo colaborativo"""
E27,1,0,0,0,Destinatária,"c.12: ""mostrar a ER distribuída ao longo dos ciclos, realimentada pela análise de usabilidade"""
E29,1,1,0,0,"Destinatária, Estruturadora","""a ER aparece como atividade receptora que converte insights de empatia em histórias de usuário"""
E32,1,0,0,0,Destinatária,"c.12: ""posicionar a ER como saída do processo de design colaborativo, e não como disciplina autônoma que o antecede ou governa"""
E36,1,0,1,0,"Destinatária, Organizadora","""a ER aparece como atividade demandante que consome as técnicas de DT"""
E38,0,1,1,0,"Estruturadora, Organizadora","""atribui à especificação de requisitos o papel de atividade estruturante e de origem dos testes de aceitação"""
E40,0,0,0,1,Prática coletiva distribuída,"c.12: ""documentar a transição do papel dos profissionais de receptores de requisitos para descobridores e críticos das necessidades dos usuários"""
E43,0,0,1,0,Organizadora,"c.12: ""posicionar a coleta de requisitos como fase estruturante que condiciona a formação de times e o formato dos workshops"""
E45,0,0,1,1,"Organizadora, Prática coletiva distribuída","c.12: ""distribuir responsabilidades de requisitos entre papéis ágeis catalogados como padrões"""
E46,0,0,1,0,Organizadora,"c.12: ""posicionar a ER como processo guarda-chuva que ordena e absorve as atividades de design"""
E47,0,0,1,0,Organizadora,"c.12: ""propor um mapeamento explícito das cinco atividades de ER sobre as etapas do modelo de design"""
E51,1,0,0,0,Destinatária,"c.12: ""situar a definição de requisitos como etapa interna do ciclo de design science research"""
E57,0,0,1,0,Organizadora,"c.12: ""posicionar os objetivos da ER como critério de classificação das técnicas de design"""
E58,1,1,0,0,"Destinatária, Estruturadora","""a ER aparece como destino do material participativo, formalizado em casos de uso"""
E63,1,0,0,0,Destinatária,"c.12: ""situando a ER como atividade absorvida pelo co-design"""
E64,1,1,0,0,"Destinatária, Estruturadora","c.12: ""posicionar a ER como produto terminal da cadeia de artefatos, formalizada pela Escada Semiótica e pela lista de requisitos"""
E67,1,1,0,0,"Destinatária, Estruturadora","c.12: ""posicionar a ER como consumidora e estruturadora do conhecimento externo ao time"""
E70,0,1,0,0,Estruturadora,"c.12: ""a ER operando como tradutora de temas comunitários e feedback informal em mudanças rastreáveis de versão"""
E72,0,1,0,0,Estruturadora,"""a ER aparece como estruturadora e tradutora, convertendo relatos emocionais em soft goals"""
E74,1,0,0,0,Destinatária,"c.12: ""situar a ER como destino do entendimento produzido no DT"""
E75,0,1,0,0,Estruturadora,"""a ER aparece como estruturadora, convertendo cenários e feedback em requisitos funcionais e não funcionais"""
E79,0,0,0,1,Prática coletiva distribuída,"c.12: ""deslocar a ER de atividade de analista para prática coletiva distribuída entre desenvolvedores multidisciplinares"""
