orcid,display_name,affiliation,country,works_in_review
0000-0001-6436-3773,Tayana Conte,Universidade Federal do Amazonas,BR,8
0000-0002-3779-7143,José Carlos Maldonado,Universidade de São Paulo,BR,4
0000-0003-4071-8546,Meira Levy,Shenkar College of Engineering and Design,IL,4
0000-0002-7191-0226,Maria Alcimar Costa Meireles,Brazilian Society of Computational and Applied Mathematics,BR,4
0000-0002-0761-713X,Darelle van Greunen,Nelson Mandela University,ZA,3
0000-0002-4267-0235,Irit Hadar,University of Haifa,IL,3
0000-0002-4894-6095,Sabrina Souza,Universidade Federal do Amazonas,BR,3
0000-0002-3961-6377,Jennifer Hehn,University of St. Gallen,CH,2
0000-0002-6868-7465,Marcela Genero,University of Castilla-La Mancha,ES,2
,Miriam Cunningham,,,2
0000-0003-0459-0493,Harry Budi Santoso,University of Indonesia,ID,2
0000-0003-0565-708X,Binyam Tilahun,University of Gondar,ET,2
0000-0002-2251-9052,Alejandro Oliveros,National University of Tres de Febrero,AR,2
,Chiara Mannari,National Research Council,IT,2
,Paul Cunningham,,,2
0000-0001-9870-5858,Davide Bolchini,Indiana University – Purdue University Indianapolis,US,2
0000-0002-6939-6168,Chipo Kanjo,University of Malawi,MW,2
0000-0001-8493-1184,Emmanuel Kweyu,Strathmore University,KE,2
0000-0002-8055-8367,Antonio Krüger,German Research Centre for Artificial Intelligence,DE,2
0000-0003-2884-5606,Ezequiel Kahan,National University of Tres de Febrero,AR,2
0000-0002-8922-6975,Letícia Mara Peres,Universidade Federal do Paraná,BR,2
0000-0001-5732-9729,José Carlos Duarte,Universidade Federal do Amazonas,BR,2
0000-0002-4215-4417,Nungki Selviandro,Telkom University,ID,2
,Anderson Felipe Souza,Universidade Federal do Amazonas,BR,2
0000-0003-0714-1108,Erwin Halim,Binus University,ID,2
0000-0002-6027-3452,Natasha Valentim,Universidade Federal do Paraná,BR,2
0000-0002-7078-8513,Falk Uebernickel,University of St. Gallen,CH,2
0000-0001-9516-1461,Armein Z. R. Langi,Bandung Institute of Technology,ID,2
0000-0002-1736-544X,Luciana Zaina,Universidade Federal de São Carlos,BR,2
0000-0002-0850-8760,Dediek Tri Kurniawan,State University of Malang,ID,2
0000-0003-1670-4793,Peter Corcoran,Ollscoil na Gaillimhe – University of Galway,IE,2
0000-0002-9007-9888,Andreas Butz,LMU Klinikum,DE,2
0000-0002-2296-3401,Ralf Klamma,Fraunhofer Institute for Applied Information Technology,DE,2
0000-0001-5233-7113,Alexandre L’Erário,Universidade Tecnológica Federal do Paraná,BR,2
,Jawahar Balachandher,PES University,IN,1
,Ralf Ehret,,,1
,Dominik Strohmeier,Technische Universität Ilmenau,DE,1
0000-0002-8748-3927,Frank Elberzhager,Fraunhofer Institute for Experimental Software Engineering,DE,1
,Leon Eduardo D. Man,Mapúa University,PH,1
0000-0001-9095-9108,Alexandru Calotoiu,ETH Zurich,CH,1
0000-0001-9686-8936,Rubina Dutta,Chitkara University,IN,1
,Weldys Santos,Universidade Estadual do Maranhão,BR,1
0000-0002-2846-1365,Maria Angela Ferrario,Lancaster University,GB,1
,Sonny Lundahl,,,1
,Hidetoshi Kurihara,Fujitsu (Japan),JP,1
0000-0002-0352-1640,Arturo Forner‐Cordero,Universidade de São Paulo,BR,1
,Giorgio Ventre,,,1
0000-0003-2235-8743,Junsheng Qiu,Kyushu University,JP,1
0000-0001-8651-5424,G. de Haan,Rotterdam University of Applied Sciences,NL,1
