venue,count
IEEE Access,4
2018 IEEE 26th International Requirements Engineering Conference (RE),3
Interacting with Computers,3
2006 Pervasive Health Conference and Workshops,2
2010 First International Workshop on the Web and Requirements Engineering,2
2013 21st IEEE International Requirements Engineering Conference (RE),2
2018 IEEE Frontiers in Education Conference (FIE),2
2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2
2024 International Conference on ICT for Smart Society (ICISS),2
IEEE Consumer Electronics Magazine,2
